Head,Relation,Tail,Title,Article,Original Tail,Original Article Text
prize,award,accordance,TITLE IX PRIZES,Article 206  General rules ,in accordance with the principles of transparency and equal treatment,"Prizes shall be awarded in accordance with the principles of transparency and equal treatment and shall promote the achievement of policy objectives of the Union. Prizes shall not be awarded directly without a contest. Contests for prizes with a unit value of EUR 1 000 000 or more may only be published where those prizes are mentioned in the financing decision referred to in Article 110 and after information on such prizes has been submitted to the European Parliament and to the Council. The amount of the prize shall not be linked to costs incurred by the winner. Where implementation of an action or work programme requires prizes to be awarded to third parties by a beneficiary, that beneficiary may award such prizes provided that the eligibility and award criteria, the amount of the prizes and the payment arrangements are defined in the grant agreement between the beneficiary and the Commission, with no margin for discretion."
prize,promote,union,TITLE IX PRIZES,Article 206  General rules ,the achievement of policy objectives of the union,"Prizes shall be awarded in accordance with the principles of transparency and equal treatment and shall promote the achievement of policy objectives of the Union. Prizes shall not be awarded directly without a contest. Contests for prizes with a unit value of EUR 1 000 000 or more may only be published where those prizes are mentioned in the financing decision referred to in Article 110 and after information on such prizes has been submitted to the European Parliament and to the Council. The amount of the prize shall not be linked to costs incurred by the winner. Where implementation of an action or work programme requires prizes to be awarded to third parties by a beneficiary, that beneficiary may award such prizes provided that the eligibility and award criteria, the amount of the prizes and the payment arrangements are defined in the grant agreement between the beneficiary and the Commission, with no margin for discretion."
prize,award,contest,TITLE IX PRIZES,Article 206  General rules ,directly without a contest,"Prizes shall be awarded in accordance with the principles of transparency and equal treatment and shall promote the achievement of policy objectives of the Union. Prizes shall not be awarded directly without a contest. Contests for prizes with a unit value of EUR 1 000 000 or more may only be published where those prizes are mentioned in the financing decision referred to in Article 110 and after information on such prizes has been submitted to the European Parliament and to the Council. The amount of the prize shall not be linked to costs incurred by the winner. Where implementation of an action or work programme requires prizes to be awarded to third parties by a beneficiary, that beneficiary may award such prizes provided that the eligibility and award criteria, the amount of the prizes and the payment arrangements are defined in the grant agreement between the beneficiary and the Commission, with no margin for discretion."
prize,mention,article,TITLE IX PRIZES,Article 206  General rules ,where in the financing decision referred to in article 110 and,"Prizes shall be awarded in accordance with the principles of transparency and equal treatment and shall promote the achievement of policy objectives of the Union. Prizes shall not be awarded directly without a contest. Contests for prizes with a unit value of EUR 1 000 000 or more may only be published where those prizes are mentioned in the financing decision referred to in Article 110 and after information on such prizes has been submitted to the European Parliament and to the Council. The amount of the prize shall not be linked to costs incurred by the winner. Where implementation of an action or work programme requires prizes to be awarded to third parties by a beneficiary, that beneficiary may award such prizes provided that the eligibility and award criteria, the amount of the prizes and the payment arrangements are defined in the grant agreement between the beneficiary and the Commission, with no margin for discretion."
prize,link,cost,TITLE IX PRIZES,Article 206  General rules ,to costs incurred by the winner,"Prizes shall be awarded in accordance with the principles of transparency and equal treatment and shall promote the achievement of policy objectives of the Union. Prizes shall not be awarded directly without a contest. Contests for prizes with a unit value of EUR 1 000 000 or more may only be published where those prizes are mentioned in the financing decision referred to in Article 110 and after information on such prizes has been submitted to the European Parliament and to the Council. The amount of the prize shall not be linked to costs incurred by the winner. Where implementation of an action or work programme requires prizes to be awarded to third parties by a beneficiary, that beneficiary may award such prizes provided that the eligibility and award criteria, the amount of the prizes and the payment arrangements are defined in the grant agreement between the beneficiary and the Commission, with no margin for discretion."
implementation action work programme,require,eligibility award criterion,TITLE IX PRIZES,Article 206  General rules ,prizes to be awarded to third parties by a beneficiary that beneficiary may award such prizes where provided that the eligibility and award criteria,"Prizes shall be awarded in accordance with the principles of transparency and equal treatment and shall promote the achievement of policy objectives of the Union. Prizes shall not be awarded directly without a contest. Contests for prizes with a unit value of EUR 1 000 000 or more may only be published where those prizes are mentioned in the financing decision referred to in Article 110 and after information on such prizes has been submitted to the European Parliament and to the Council. The amount of the prize shall not be linked to costs incurred by the winner. Where implementation of an action or work programme requires prizes to be awarded to third parties by a beneficiary, that beneficiary may award such prizes provided that the eligibility and award criteria, the amount of the prizes and the payment arrangements are defined in the grant agreement between the beneficiary and the Commission, with no margin for discretion."
prize,award,beneficiary,TITLE IX PRIZES,Article 206  General rules ,by a beneficiary that beneficiary may award such prizes,"Prizes shall be awarded in accordance with the principles of transparency and equal treatment and shall promote the achievement of policy objectives of the Union. Prizes shall not be awarded directly without a contest. Contests for prizes with a unit value of EUR 1 000 000 or more may only be published where those prizes are mentioned in the financing decision referred to in Article 110 and after information on such prizes has been submitted to the European Parliament and to the Council. The amount of the prize shall not be linked to costs incurred by the winner. Where implementation of an action or work programme requires prizes to be awarded to third parties by a beneficiary, that beneficiary may award such prizes provided that the eligibility and award criteria, the amount of the prizes and the payment arrangements are defined in the grant agreement between the beneficiary and the Commission, with no margin for discretion."
beneficiary,award,prize,TITLE IX PRIZES,Article 206  General rules ,such prizes,"Prizes shall be awarded in accordance with the principles of transparency and equal treatment and shall promote the achievement of policy objectives of the Union. Prizes shall not be awarded directly without a contest. Contests for prizes with a unit value of EUR 1 000 000 or more may only be published where those prizes are mentioned in the financing decision referred to in Article 110 and after information on such prizes has been submitted to the European Parliament and to the Council. The amount of the prize shall not be linked to costs incurred by the winner. Where implementation of an action or work programme requires prizes to be awarded to third parties by a beneficiary, that beneficiary may award such prizes provided that the eligibility and award criteria, the amount of the prizes and the payment arrangements are defined in the grant agreement between the beneficiary and the Commission, with no margin for discretion."
prize,define,commission,TITLE IX PRIZES,Article 206  General rules ,in the grant agreement between the beneficiary and the commission with no margin for discretion,"Prizes shall be awarded in accordance with the principles of transparency and equal treatment and shall promote the achievement of policy objectives of the Union. Prizes shall not be awarded directly without a contest. Contests for prizes with a unit value of EUR 1 000 000 or more may only be published where those prizes are mentioned in the financing decision referred to in Article 110 and after information on such prizes has been submitted to the European Parliament and to the Council. The amount of the prize shall not be linked to costs incurred by the winner. Where implementation of an action or work programme requires prizes to be awarded to third parties by a beneficiary, that beneficiary may award such prizes provided that the eligibility and award criteria, the amount of the prizes and the payment arrangements are defined in the grant agreement between the beneficiary and the Commission, with no margin for discretion."
rule contest,specify,final date,TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ",the eligibility criteria specify the arrangements and the final date for the registration of applicants if required and for the submission of applications specify the exclusion criteria as set out in articles 136 and,"Rules of contests shall: (a) specify the eligibility criteria; (b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of applications; (c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; (d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the framework of the contest; (e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as specified in the rules of the contest; (f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard to the objectives pursued and the expected results and to determine objectively whether applications are successful; (g) specify the amount of the prize or prizes; (h) specify the arrangements for the payment of prizes to the winners after their award.  L 193/131 243). For the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules of contest. Article 194(3) shall apply mutatis mutandis to the publication of contests. Rules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be fulfilled. Prizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee referred to in Article 150. Article 200(4) and (6) shall apply mutatis mutandis to the award decision. Applicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any case within 15 calendar days after the award decision has been taken by the authorising officer. The decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. All prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). When requested by the European Parliament and by the Council following the publication, the Commission shall forward them a report on: (a) the number of applicants in the past year; (b) the number of applicants and the percentage of successful applications per contest; (c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the procedure for their selection."
eligibility criterion,specify,final date,TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ",the arrangements and the final date for the registration of applicants,"Rules of contests shall: (a) specify the eligibility criteria; (b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of applications; (c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; (d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the framework of the contest; (e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as specified in the rules of the contest; (f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard to the objectives pursued and the expected results and to determine objectively whether applications are successful; (g) specify the amount of the prize or prizes; (h) specify the arrangements for the payment of prizes to the winners after their award.  L 193/131 243). For the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules of contest. Article 194(3) shall apply mutatis mutandis to the publication of contests. Rules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be fulfilled. Prizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee referred to in Article 150. Article 200(4) and (6) shall apply mutatis mutandis to the award decision. Applicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any case within 15 calendar days after the award decision has been taken by the authorising officer. The decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. All prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). When requested by the European Parliament and by the Council following the publication, the Commission shall forward them a report on: (a) the number of applicants in the past year; (b) the number of applicants and the percentage of successful applications per contest; (c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the procedure for their selection."
eligibility criterion,specify,exclusion criterion,TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ",the exclusion criteria,"Rules of contests shall: (a) specify the eligibility criteria; (b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of applications; (c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; (d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the framework of the contest; (e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as specified in the rules of the contest; (f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard to the objectives pursued and the expected results and to determine objectively whether applications are successful; (g) specify the amount of the prize or prizes; (h) specify the arrangements for the payment of prizes to the winners after their award.  L 193/131 243). For the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules of contest. Article 194(3) shall apply mutatis mutandis to the publication of contests. Rules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be fulfilled. Prizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee referred to in Article 150. Article 200(4) and (6) shall apply mutatis mutandis to the award decision. Applicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any case within 15 calendar days after the award decision has been taken by the authorising officer. The decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. All prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). When requested by the European Parliament and by the Council following the publication, the Commission shall forward them a report on: (a) the number of applicants in the past year; (b) the number of applicants and the percentage of successful applications per contest; (c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the procedure for their selection."
eligibility criterion,set,article,TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ",in articles 136 and,"Rules of contests shall: (a) specify the eligibility criteria; (b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of applications; (c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; (d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the framework of the contest; (e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as specified in the rules of the contest; (f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard to the objectives pursued and the expected results and to determine objectively whether applications are successful; (g) specify the amount of the prize or prizes; (h) specify the arrangements for the payment of prizes to the winners after their award.  L 193/131 243). For the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules of contest. Article 194(3) shall apply mutatis mutandis to the publication of contests. Rules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be fulfilled. Prizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee referred to in Article 150. Article 200(4) and (6) shall apply mutatis mutandis to the award decision. Applicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any case within 15 calendar days after the award decision has been taken by the authorising officer. The decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. All prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). When requested by the European Parliament and by the Council following the publication, the Commission shall forward them a report on: (a) the number of applicants in the past year; (b) the number of applicants and the percentage of successful applications per contest; (c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the procedure for their selection."
article 1943,apply,publication,TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ",mutatis mutandis to the publication of contests,"Rules of contests shall: (a) specify the eligibility criteria; (b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of applications; (c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; (d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the framework of the contest; (e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as specified in the rules of the contest; (f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard to the objectives pursued and the expected results and to determine objectively whether applications are successful; (g) specify the amount of the prize or prizes; (h) specify the arrangements for the payment of prizes to the winners after their award.  L 193/131 243). For the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules of contest. Article 194(3) shall apply mutatis mutandis to the publication of contests. Rules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be fulfilled. Prizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee referred to in Article 150. Article 200(4) and (6) shall apply mutatis mutandis to the award decision. Applicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any case within 15 calendar days after the award decision has been taken by the authorising officer. The decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. All prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). When requested by the European Parliament and by the Council following the publication, the Commission shall forward them a report on: (a) the number of applicants in the past year; (b) the number of applicants and the percentage of successful applications per contest; (c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the procedure for their selection."
rule contest,set,condition,TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ",the conditions for cancelling the contest in particular where the contest objectives cannot be fulfilled,"Rules of contests shall: (a) specify the eligibility criteria; (b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of applications; (c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; (d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the framework of the contest; (e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as specified in the rules of the contest; (f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard to the objectives pursued and the expected results and to determine objectively whether applications are successful; (g) specify the amount of the prize or prizes; (h) specify the arrangements for the payment of prizes to the winners after their award.  L 193/131 243). For the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules of contest. Article 194(3) shall apply mutatis mutandis to the publication of contests. Rules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be fulfilled. Prizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee referred to in Article 150. Article 200(4) and (6) shall apply mutatis mutandis to the award decision. Applicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any case within 15 calendar days after the award decision has been taken by the authorising officer. The decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. All prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). When requested by the European Parliament and by the Council following the publication, the Commission shall forward them a report on: (a) the number of applicants in the past year; (b) the number of applicants and the percentage of successful applications per contest; (c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the procedure for their selection."
prize,award,article,TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ",by the authorising officer responsible following an evaluation by the evaluation committee referred to in article 150,"Rules of contests shall: (a) specify the eligibility criteria; (b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of applications; (c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; (d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the framework of the contest; (e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as specified in the rules of the contest; (f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard to the objectives pursued and the expected results and to determine objectively whether applications are successful; (g) specify the amount of the prize or prizes; (h) specify the arrangements for the payment of prizes to the winners after their award.  L 193/131 243). For the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules of contest. Article 194(3) shall apply mutatis mutandis to the publication of contests. Rules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be fulfilled. Prizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee referred to in Article 150. Article 200(4) and (6) shall apply mutatis mutandis to the award decision. Applicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any case within 15 calendar days after the award decision has been taken by the authorising officer. The decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. All prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). When requested by the European Parliament and by the Council following the publication, the Commission shall forward them a report on: (a) the number of applicants in the past year; (b) the number of applicants and the percentage of successful applications per contest; (c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the procedure for their selection."
article 2004    6,apply,award decision,TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ",mutatis mutandis to the award decision,"Rules of contests shall: (a) specify the eligibility criteria; (b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of applications; (c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; (d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the framework of the contest; (e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as specified in the rules of the contest; (f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard to the objectives pursued and the expected results and to determine objectively whether applications are successful; (g) specify the amount of the prize or prizes; (h) specify the arrangements for the payment of prizes to the winners after their award.  L 193/131 243). For the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules of contest. Article 194(3) shall apply mutatis mutandis to the publication of contests. Rules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be fulfilled. Prizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee referred to in Article 150. Article 200(4) and (6) shall apply mutatis mutandis to the award decision. Applicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any case within 15 calendar days after the award decision has been taken by the authorising officer. The decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. All prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). When requested by the European Parliament and by the Council following the publication, the Commission shall forward them a report on: (a) the number of applicants in the past year; (b) the number of applicants and the percentage of successful applications per contest; (c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the procedure for their selection."
applicant,inform,applicant application,TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ",as soon as possible of the outcome of the evaluation of applicants application and,"Rules of contests shall: (a) specify the eligibility criteria; (b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of applications; (c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; (d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the framework of the contest; (e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as specified in the rules of the contest; (f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard to the objectives pursued and the expected results and to determine objectively whether applications are successful; (g) specify the amount of the prize or prizes; (h) specify the arrangements for the payment of prizes to the winners after their award.  L 193/131 243). For the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules of contest. Article 194(3) shall apply mutatis mutandis to the publication of contests. Rules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be fulfilled. Prizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee referred to in Article 150. Article 200(4) and (6) shall apply mutatis mutandis to the award decision. Applicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any case within 15 calendar days after the award decision has been taken by the authorising officer. The decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. All prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). When requested by the European Parliament and by the Council following the publication, the Commission shall forward them a report on: (a) the number of applicants in the past year; (b) the number of applicants and the percentage of successful applications per contest; (c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the procedure for their selection."
award decision,take,authorise officer,TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ",in any case within 15 calendar days by the authorising officer,"Rules of contests shall: (a) specify the eligibility criteria; (b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of applications; (c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; (d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the framework of the contest; (e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as specified in the rules of the contest; (f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard to the objectives pursued and the expected results and to determine objectively whether applications are successful; (g) specify the amount of the prize or prizes; (h) specify the arrangements for the payment of prizes to the winners after their award.  L 193/131 243). For the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules of contest. Article 194(3) shall apply mutatis mutandis to the publication of contests. Rules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be fulfilled. Prizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee referred to in Article 150. Article 200(4) and (6) shall apply mutatis mutandis to the award decision. Applicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any case within 15 calendar days after the award decision has been taken by the authorising officer. The decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. All prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). When requested by the European Parliament and by the Council following the publication, the Commission shall forward them a report on: (a) the number of applicants in the past year; (b) the number of applicants and the percentage of successful applications per contest; (c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the procedure for their selection."
award decision,notify,win applicant,TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ",to the winning applicant,"Rules of contests shall: (a) specify the eligibility criteria; (b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of applications; (c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; (d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the framework of the contest; (e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as specified in the rules of the contest; (f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard to the objectives pursued and the expected results and to determine objectively whether applications are successful; (g) specify the amount of the prize or prizes; (h) specify the arrangements for the payment of prizes to the winners after their award.  L 193/131 243). For the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules of contest. Article 194(3) shall apply mutatis mutandis to the publication of contests. Rules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be fulfilled. Prizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee referred to in Article 150. Article 200(4) and (6) shall apply mutatis mutandis to the award decision. Applicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any case within 15 calendar days after the award decision has been taken by the authorising officer. The decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. All prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). When requested by the European Parliament and by the Council following the publication, the Commission shall forward them a report on: (a) the number of applicants in the past year; (b) the number of applicants and the percentage of successful applications per contest; (c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the procedure for their selection."
award decision,serve,legal commitment,TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ",as the legal commitment,"Rules of contests shall: (a) specify the eligibility criteria; (b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of applications; (c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; (d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the framework of the contest; (e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as specified in the rules of the contest; (f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard to the objectives pursued and the expected results and to determine objectively whether applications are successful; (g) specify the amount of the prize or prizes; (h) specify the arrangements for the payment of prizes to the winners after their award.  L 193/131 243). For the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules of contest. Article 194(3) shall apply mutatis mutandis to the publication of contests. Rules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be fulfilled. Prizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee referred to in Article 150. Article 200(4) and (6) shall apply mutatis mutandis to the award decision. Applicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any case within 15 calendar days after the award decision has been taken by the authorising officer. The decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. All prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). When requested by the European Parliament and by the Council following the publication, the Commission shall forward them a report on: (a) the number of applicants in the past year; (b) the number of applicants and the percentage of successful applications per contest; (c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the procedure for their selection."
prize award course financial year,publish,accordance,TITLE IX PRIZES,"Article 207  Rules of contest, award and publication ",in accordance with article 38(1) to (4,"Rules of contests shall: (a) specify the eligibility criteria; (b) specify the arrangements and the final date for the registration of applicants, if required, and for the submission of applications; (c) specify the exclusion criteria as set out in Articles 136 and the grounds for rejection set out in Article 141; (d) provide for the sole liability of the applicant in the event of a claim relating to the activities carried out in the framework of the contest; (e) provide for acceptance by the winners of the obligations referred to in Article 129 and of the publicity obligations as specified in the rules of the contest; (f) specify the award criteria, which shall be such as to make possible to assess the quality of the applications with regard to the objectives pursued and the expected results and to determine objectively whether applications are successful; (g) specify the amount of the prize or prizes; (h) specify the arrangements for the payment of prizes to the winners after their award.  L 193/131 243). For the purposes of point (a) of the first subparagraph, beneficiaries shall be eligible, unless stated otherwise in the rules of contest. Article 194(3) shall apply mutatis mutandis to the publication of contests. Rules of contests may set the conditions for cancelling the contest, in particular where its objectives cannot be fulfilled. Prizes shall be awarded by the authorising officer responsible following an evaluation by the evaluation committee referred to in Article 150. Article 200(4) and (6) shall apply mutatis mutandis to the award decision. Applicants shall be informed as soon as possible of the outcome of the evaluation of their application and in any case within 15 calendar days after the award decision has been taken by the authorising officer. The decision to award the prize shall be notified to the winning applicant and shall serve as the legal commitment. All prizes awarded in the course of a financial year shall be published in accordance with Article 38(1) to (4). When requested by the European Parliament and by the Council following the publication, the Commission shall forward them a report on: (a) the number of applicants in the past year; (b) the number of applicants and the percentage of successful applications per contest; (c) a list of the experts having taken part in evaluation committees in the past year, together with a reference to the procedure for their selection."
